squirrel_id,grid,locx,locy,year,sex,survived,survived2,survived3,all_litters_fit,mast,social_survival,social_survival2,social_survival3,social_repro,age,std_soc_repro,std_soc_surv,std_soc_surv2,std_soc_surv3
1284,SU,-2,2,1991,F,0,-1,-0.5,1,n,4.309288538,-0.267786561,2.020750988,1.721343874,2,-1.284611556,0.360277024,1.859138134,0.991867097
1287,SU,7,3,1991,F,1,0,0.5,0,n,3.209486166,-1.53458498,0.837450593,2.791501976,2,0.032903212,-0.619855883,-1.184001268,-1.000476047
1295,SU,3,12,1991,F,1,0,0.5,1,n,6.124505929,-1.072134387,2.526185771,4.589920949,5,2.247009286,1.977980664,-0.073089224,1.842876299
1299,SU,2.5,18,1991,F,1,0,0.5,1,n,3.545454545,-0.523715415,1.510869565,1.62055336,4,-1.40869882,-0.320444213,1.24433852,0.133371012
1304,SU,0.5,3,1991,F,1,0,0.5,1,n,4.388339921,-0.911067194,1.738636364,2.296442688,3,-0.576584229,0.430726829,0.313830996,0.516865872
1307,SU,0,0,1991,F,1,0,0.5,0,n,2.793478261,-0.776679842,1.008399209,1.947628458,2,-1.006023484,-0.99059798,0.636660137,-0.712646933
1355,SU,2.5,4.5,1991,F,1,0,0.5,0,n,4.292490119,-0.90513834,1.693675889,3.447628458,5,0.840686966,0.345306441,0.328073458,0.441165151
1361,SU,-2,1,1991,F,1,0,0.5,0,n,2.873517787,-1.25,0.811758893,2.469367589,1,-0.363689415,-0.919267553,-0.500363087,-1.043733602
1417,SU,4,18,1991,F,1,0,0.5,0,n,3.574110672,-0.712450593,1.43083004,2.384387352,1,-0.468312009,-0.294906159,0.790953477,-0.001392909
1472,SU,14,11,1991,F,1,0,0.5,3,n,3.10770751,-1.2243083,0.941699605,1.861660079,3,-1.111862621,-0.710560006,-0.438645751,-0.8249502
1501,SU,19,1,1991,F,1,0,0.5,1,n,1.909090909,-0.688735178,0.610177866,1.927865613,1,-1.03035432,-1.77875517,0.847923325,-1.383139031
1503,SU,-1.5,4.5,1991,F,1,0,0.5,0,n,4.377470356,-0.806324111,1.785573123,3.055335968,1,0.357719872,0.421039981,0.565447827,0.595894097
1516,SU,3,13,1991,F,1,0,0.5,1,n,5.964426877,-0.977272727,2.493577075,4.278656126,5,1.863798619,1.835319809,0.15479017,1.787972479
1517,SU,7.5,16,1991,F,1,0,0.5,0,n,3.169960474,-1.292490119,0.938735178,2.101778656,4,-0.816242964,-0.655080785,-0.602434066,-0.829941457
1519,SU,-3,6,1991,F,1,0,0.5,1,n,3.182806324,-0.552371542,1.315217391,1.920948617,5,-1.038870113,-0.643632692,1.175499954,-0.196051905
